Date,Name,X,Y,Z
2156-08-01,Saturn,-1385188761.191473,197075293.28262368,141363354.8100479
2156-08-01,Uranus,-17126950.479802817,-2642234934.6171327,-1156937727.6788776
2156-08-01,Neptune,1248114817.9015718,-4006839324.4137087,-1671094472.6473715
2156-08-01,Pluto,506600035.46715534,6545517226.79539,1890222094.9491239
2156-09-01,Sun,0.0,0.0,0.0
2156-09-01,Mercury,28356790.17671062,33901924.85274773,15267580.998557208
2156-09-01,Venus,58532783.284436025,84094756.06234741,34202908.826132916
2156-09-01,Earth,139624731.46176988,-54609197.03452515,-23681578.3872595
2156-09-01,Mars,-80355700.03583588,205434141.4739085,96383038.18427427
2156-09-01,Jupiter,-320239068.9282396,653197815.3929373,287674806.30777246
2156-09-01,Saturn,-1390721642.7432609,173315980.53478497,131782961.50889932
2156-09-01,Uranus,979901.679489716,-2642969256.4889183,-1157514848.7624469
2156-09-01,Neptune,1262005524.1582453,-4002890920.4470034,-1669824271.860009
2156-09-01,Pluto,496248026.84146315,6543378182.680374,1892673719.6108222
2156-10-01,Sun,0.0,0.0,0.0
2156-10-01,Mercury,-56532062.87056133,-26496188.27719449,-8243898.617522756
2156-10-01,Venus,-28924610.34226225,93231758.84157696,43842521.24779108
2156-10-01,Earth,149663897.49498823,14455425.764921872,6230855.992891909
2156-10-01,Mars,-134062188.68403503,184377294.17645586,88154910.67440055
2156-10-01,Jupiter,-351220060.9111188,641012876.1304914,283204975.3784814
2156-10-01,Saturn,-1395623989.064062,150266899.37482792,122468835.32978307
2156-10-01,Uranus,18502649.5495003,-2643580052.7128367,-1158029628.03516
2156-10-01,Neptune,1275435713.189189,-3999030461.266774,-1668578600.209342
2156-10-01,Pluto,486228539.0830039,6541289494.758851,1895040866.7478733
2156-11-01,Sun,0.0,0.0,0.0
2156-11-01,Mercury,28705077.1154422,-52016509.483801134,-30684521.967434615
2156-11-01,Venus,-97628617.07591021,36749317.61667688,22742221.8162695
2156-11-01,Earth,119537065.9631354,81505826.09827395,35272490.87269019
2156-11-01,Mars,-181011336.75986448,150927012.38441756,74061296.9093314
2156-11-01,Jupiter,-382550798.1601787,627177960.953726,278036573.57993823
2156-11-01,Saturn,-1400222325.7190351,126399521.74887103,112803359.92099783
2156-11-01,Uranus,36608778.14536885,-2644108109.850236,-1158516403.526234
2156-11-01,Neptune,1289300590.3720262,-3995000620.1138334,-1667274424.6409962
2156-11-01,Pluto,475873635.16494673,6539111905.630241,1897481333.875334
2156-12-01,Sun,0.0,0.0,0.0
2156-12-01,Mercury,14581752.792038787,38998387.41963393,19414168.822326694
2156-12-01,Venus,-97149880.90720963,-43904876.09015726,-13614698.575231731
2156-12-01,Earth,58224934.56295156,124426223.62497815,53864102.15809051
2156-12-01,Mars,-215694337.20496362,109544027.56595999,56001652.29693779
2156-12-01,Jupiter,-412156722.6585603,612618261.0476214,272515731.7036995
2156-12-01,Saturn,-1404219857.0972672,103261381.86028866,103413292.44029272
2156-12-01,Uranus,54129483.00162296,-2644519427.3444934,-1158943790.5786355
2156-12-01,Neptune,1302705513.0605154,-3991061422.7383122,-1665995896.9024532
2156-12-01,Pluto,465851401.05233246,6536985893.885011,1899837659.7210736
2157-01-01,Sun,0.0,0.0,0.0
